Country,GDP per capita,Life expectancy,Population,Continent,Life expectancy group
Lesotho,2598,47.1,2174645,Africa,below 60
Central African Republic,599,49.6,4546100,Africa,below 60
Swaziland,6095,51.8,1319011,Africa,below 60
Afghanistan,1925,53.8,33736494,Asia,below 60
Somalia,624,54.2,13908129,Africa,below 60
Guinea-Bissau,1386,55.6,1770526,Africa,below 60
South Sudan,3047,56.1,11882136,Africa,below 60
Zambia,4034,56.7,16100587,Africa,below 60
Mozambique,1176,57.1,28010691,Africa,below 60
Sierra Leone,2085,57.1,7237025,Africa,below 60
Chad,2191,57.4,14009413,Africa,below 60
Botswana,17196,58.7,2209197,Africa,below 60
Guinea,1225,59.1,12091533,Africa,below 60
Cote d'Ivoire,3491,59.1,23108472,Africa,below 60
Zimbabwe,1801,59.3,15777451,Africa,below 60
Cameroon,2897,59.4,22834522,Africa,below 60
Angola,7615,59.6,27859305,Africa,below 60
Mali,1684,60.2,17467905,Africa,above 60
Malawi,799,60.5,17573607,Africa,above 60
"Congo, Dem. Rep.",809,60.8,76196619,Africa,above 60
Burkina Faso,1654,60.9,18110624,Africa,above 60
Papua New Guinea,2529,60.9,7919825,Australia,above 60
Niger,943,61,19896965,Africa,above 60
Equatorial Guinea,31087,61,1175389,Africa,above 60
Uganda,1680,61.3,40144870,Africa,above 60
South Africa,12509,61.3,55291225,Africa,above 60
Burundi,777,61.4,10199270,Africa,above 60
Togo,1433,61.5,7416802,Africa,above 60
"Congo, Rep.",6220,61.5,4995648,Africa,above 60
Benin,1830,62.3,10575952,Africa,above 60
Kiribati,1824,63,112407,Australia,above 60
Liberia,958,63.2,4499621,Africa,above 60
Madagascar,1400,63.5,24234088,Africa,above 60
Djibouti,3139,63.8,927414,Africa,above 60
Solomon Islands,2047,64,587482,Australia,above 60
Tanzania,2571,64.1,53879957,Africa,above 60
Namibia,10040,64.2,2425561,Africa,above 60
Haiti,1710,64.3,10711061,North America,above 60
Nigeria,5727,64.6,181181744,Africa,above 60
Vanuatu,2912,64.9,264603,Australia,above 60
Kenya,2898,65.1,47236259,Africa,above 60
Ethiopia,1520,65.2,99873033,Africa,above 60
Senegal,2251,65.3,14976994,Africa,above 60
Ghana,4099,65.3,27582821,Africa,above 60
Fiji,7925,65.8,892149,Australia,above 60
Rwanda,1549,65.9,11629553,Africa,above 60
Pakistan,4743,65.9,189380513,Asia,above 60
Gabon,18627,65.9,1930175,Africa,above 60
Yemen,3887,66,26916207,Asia,above 60
Guyana,6816,66.8,768514,South America,above 60
Marshall Islands,3661,66.9,52994,Australia,above 60
Lao,5212,67.1,6663967,Asia,above 60
Mongolia,11819,67.1,2976877,Asia,above 60
India,5903,67.2,1309053980,Asia,above 60
Iraq,14646,67.4,36115649,Asia,above 60
Sudan,3975,67.5,38647803,Africa,above 60
Sao Tome and Principe,3003,68,195553,Africa,above 60
Myanmar,4012,68,52403669,Asia,above 60
Comoros,1472,68.1,777424,Africa,above 60
Gambia,1644,68.1,1977590,Africa,above 60
Syria,4637,68.2,18734987,Asia,above 60
"Micronesia, Fed. Sts.",3510,68.9,104433,Australia,above 60
Cambodia,3267,69.4,15517635,Asia,above 60
Nepal,2352,69.7,28656282,Asia,above 60
Mauritania,3877,69.7,4182341,Africa,above 60
Kyrgyz Republic,3245,69.8,5956900,Asia,above 60
Turkmenistan,15865,70,5565284,Asia,above 60
Kazakhstan,23468,70.2,17544126,Asia,above 60
Bangladesh,3161,70.4,161200886,Asia,above 60
Philippines,6876,71,101716359,Asia,above 60
Belarus,17415,71,9489616,Europe,above 60
Russia,23038,71,144096870,Europe,above 60
Indonesia,10504,71.1,258162113,Asia,above 60
St. Vincent and the Grenadines,10435,71.2,109455,North America,above 60
Tonga,5069,71.5,106364,Australia,above 60
Ukraine,8449,71.5,45154029,Europe,above 60
Egypt,11031,71.5,93778172,Africa,above 60
Grenada,11593,71.5,106823,North America,above 60
Belize,8501,71.7,359288,North America,above 60
Uzbekistan,5598,71.8,31298900,Asia,above 60
Suriname,17125,72,553208,South America,above 60
North Korea,1390,72.1,25243917,Asia,above 60
Greenland,27763,72.1,56114,North America,above 60
Timor-Leste,2086,72.4,1240977,Australia,above 60
Tajikistan,2582,72.4,8548651,Asia,above 60
Trinidad and Tobago,30113,72.4,1360092,North America,above 60
Guatemala,7279,72.6,16252429,North America,above 60
Bhutan,7983,72.7,787386,Asia,above 60
Georgia,7474,72.9,3717100,Asia,above 60
Azerbaijan,16986,72.9,9649341,Asia,above 60
Honduras,4270,73,8960829,North America,above 60
Dominica,10503,73.1,73162,North America,above 60
Samoa,5558,73.2,193759,Australia,above 60
Bolivia,6295,73.2,10724705,South America,above 60
Bahamas,22818,73.7,386838,North America,above 60
Moldova,4896,73.9,3554108,Europe,above 60
Libya,17261,74.1,6234955,Africa,above 60
Seychelles,25684,74.1,93419,Africa,above 60
Paraguay,8219,74.4,6639119,South America,above 60
Brazil,15441,74.4,205962108,South America,above 60
Mauritius,18350,74.5,1262605,Africa,above 60
West Bank and Gaza,4319,74.6,4422143,Asia,above 60
Morocco,7319,74.6,34803322,Africa,above 60
Iran,15573,74.6,79360487,Asia,above 60
Armenia,7763,74.7,2916950,Asia,above 60
Thailand,14512,74.7,68657600,Asia,above 60
St. Lucia,9997,74.8,177206,North America,above 60
Venezuela,15753,74.8,31155134,South America,above 60
Bulgaria,16371,74.8,7177991,Europe,above 60
El Salvador,7776,74.9,6312478,North America,above 60
Jamaica,8606,75,2871934,North America,above 60
Romania,19203,75.2,19815481,Europe,above 60
Lithuania,26665,75.2,2904910,Europe,above 60
Dominican Republic,12837,75.3,10528394,North America,above 60
Malaysia,24320,75.3,30723155,Asia,above 60
